en_test,zh_test,M2M100,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"What this is telling us, really,  is that we might be thinking of ourselves and of other people  in terms of two selves.",这告诉我们， 我们在思考自己和别人时， 用了两种自我。,"事实上,这告诉我们的是,我们可能会在两种意义上思考自己和其他人。",53.125,41.397,32.483,26.221,21.053,18.046,76,0.6,0.5,0.545,0.25,0.211,0.229,0.529,0.45,0.486,0.831,0.764,0.796
"There is an experiencing self,  who lives in the present  and knows the present,  is capable of re-living the past,  but basically it has only the present.",第一种则为经验自我， 这种自我活在当下， 洞察当下， 同时也能回味过往， 但基本上他只属于当下。,"有一个经历的自我,谁生活在现在,知道现在,能够重新生活过去,但基本上它只有现在。",31.669,19.167,12.05,8.088,9.298,7.969,72.727,0.19,0.211,0.2,0.04,0.043,0.042,0.148,0.16,0.154,0.743,0.759,0.751
"It's the experiencing self that the doctor approaches --  you know, when the doctor asks,  ""Does it hurt now when I touch you here?""",一般医生接触的皆是经验自我-- 正如，当医生问你， “我碰你这里时会疼么？”,"这是医生接近的经历自我 - 你知道,当医生问:“当我在这里触摸你时,现在伤害了吗?”",52.5,30.697,19.521,11.908,14.79,15.259,71.429,0.435,0.4,0.417,0.08,0.071,0.075,0.385,0.345,0.364,0.79,0.775,0.782
"And then there is a remembering self,  and the remembering self is the one that keeps score,  and maintains the story of our life,  and it's the one that the doctor approaches  in asking the question,  ""How have you been feeling lately?""",另一个自我则是记忆自我， 他负责记录生活， 抒写生活故事， 医生要找他时 会这么问， “最近感觉如何？”,"然后有一个记住的自我,而记住的自我是保持得分的,并保持了我们生活的故事,这是医生接近的问题,“你最近感觉如何?”",44.643,29.881,18.771,13.91,13.92,11.931,78.723,0.423,0.407,0.415,0.065,0.059,0.062,0.344,0.297,0.319,0.743,0.711,0.727
"or ""How was your trip to Albania?"" or something like that.",或“去阿尔巴尼亚好玩么？”等类似的问题。,或者“你去阿尔巴尼亚的旅程是什么样子?”或类似的东西。,51.852,37.363,30.337,24.306,20.753,17.788,65,0.615,0.5,0.552,0.167,0.125,0.143,0.538,0.412,0.467,0.821,0.769,0.794
"Those are two very different entities,  the experiencing self and the remembering self,  and getting confused between them is part of the mess  about the notion of happiness.",经验自我和记忆自我 是截然不同的， 两者的混淆是导致我们不懂快乐的 部分原因。,"这些是两个非常不同的实体,经历的自我和记忆的自我,并在他们之间混淆是关于幸福的概念的混乱的一部分。",44.898,32.077,22.203,14.77,14.17,12.146,94.444,0.389,0.304,0.341,0.143,0.103,0.12,0.409,0.29,0.34,0.748,0.717,0.732
"Now, the remembering self  is a storyteller.",记忆自我 负责讲述故事。,"现在,记住自己是一个故事讲师。",40,16.903,10.319,6.917,7.857,6.735,90.909,0.333,0.222,0.267,0,0,0,0.333,0.222,0.267,0.699,0.652,0.675
And that really starts with a basic response of our memories --  it starts immediately.,故事从记忆中直接撷取-- 即时上传。,"事实上,它从我们记忆的基本反应开始 - 它立即开始。",29.167,11.261,6.605,4.304,6.28,8.877,118.75,0.3,0.231,0.261,0,0,0,0.3,0.2,0.24,0.666,0.606,0.635
We don't only tell stories when we set out to tell stories.,并不是我们在讲我们要讲的故事。,"我们不只是讲故事,当我们出去讲故事时。",57.895,31.063,14.158,8.16,12.427,10.652,80,0.222,0.222,0.222,0,0,0,0.273,0.273,0.273,0.745,0.744,0.745
"Our memory tells us stories,  that is, what we get to keep from our experiences  is a story.",是我们的记忆在讲故事， 它是我们从经验中储存下来的 故事。,"我們的記憶告訴我們故事,也就是說,我們從我們的經驗中得到的就是故事。",35.294,17.912,10.009,6.341,7.918,6.787,88.889,0.267,0.286,0.276,0.062,0.05,0.056,0.278,0.227,0.25,0.812,0.791,0.801
And let me begin with one example.,让我用一个例子开始。,让我们从一个例子开始。,81.818,75.679,68.269,63.156,55.594,47.652,20,0.714,0.714,0.714,0.5,0.5,0.5,0.714,0.714,0.714,0.928,0.907,0.917
This is an old study.,这是一个古老的研究。,这是一个古老的研究。,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1
Those are actual patients undergoing a painful procedure.,一些真正的病人将会接受一种痛苦的治疗方法。,这些是真正的病人接受痛苦的程序。,54.871,43.283,33.959,25.766,28.993,24.851,47.619,0.545,0.667,0.6,0.273,0.333,0.3,0.583,0.7,0.636,0.775,0.824,0.799
"I won't go into detail. It's no longer painful these days,  but it was painful when this study was run in the 1990s.",细节不再详述。现今的疗法已不再如此难受， 但在研究进行的九十年代时，这种方法令人痛不欲生。,"這些日子不再痛苦,但當這項研究在1990年代進行時,它是痛苦的。",24.669,12.553,5.582,3.16,7.863,6.74,81.818,0.238,0.294,0.263,0,0,0,0.16,0.211,0.182,0.703,0.762,0.731
They were asked to report on their pain every 60 seconds.,病人每隔六十秒则必须报告他们的痛苦指数。,他们被要求每60秒报告他们的疼痛。,43.808,30.163,24.762,20.652,19.987,17.131,70,0.417,0.5,0.455,0.182,0.2,0.19,0.417,0.455,0.435,0.794,0.847,0.819
"Here are two patients,  those are their recordings.",这边有两位病患。 这是他们的记录。,"这里有两个病人,这些是他们的记录。",70.588,55.572,46.867,41.412,35.998,30.855,31.25,0.556,0.455,0.5,0.333,0.3,0.316,0.5,0.455,0.476,0.913,0.892,0.902
"And you are asked, ""Who of them suffered more?""",我问你：“在他们之中谁最痛苦？”,你們被問:「他們中誰更受苦呢?」,25,9.129,5.299,3.459,4.167,3.571,87.5,0,0,0,0,0,0,0,0,0,0.785,0.793,0.789
And it's a very easy question.,这个问题很简单。,这是一个非常简单的问题。,58.333,32.567,17.438,11.017,12.753,10.931,75,0.4,0.333,0.364,0,0,0,0.4,0.333,0.364,0.872,0.803,0.836
"Clearly, Patient B suffered more --  his colonoscopy was longer,  and every minute of pain that Patient A had,  Patient B had, and more.",显然，是病人B。 他的结肠镜检查时间较长， 病人A每分钟感觉的痛疼 病人B也感觉到了，而且持续更久。,"显然,病人B受了更多的痛苦 - 他的殖民时间更长,每分钟的痛苦,病人A受了,病人B受了,更多。",51.015,36.481,22.793,10.776,14.985,11.239,68.085,0.455,0.556,0.5,0.107,0.125,0.115,0.4,0.353,0.375,0.731,0.77,0.75
"But now there is another question:  ""How much did these patients think they suffered?""",但现在还有另一个问题： 这些患者认为他们受罪了吗？,但现在还有另一个问题:“这些病人认为他们遭受了多少?”,66.667,57.735,51.087,45.915,39.802,34.116,41.667,0.667,0.588,0.625,0.429,0.375,0.4,0.667,0.588,0.625,0.916,0.883,0.899
And here is a surprise.,这里有个小意外：,这就是一个惊喜。,25,13.363,9.062,6.567,4.167,3.571,87.5,0,0,0,0,0,0,0,0,0,0.675,0.679,0.677
The surprise is that Patient A  had a much worse memory of the colonoscopy  than Patient B.,令人惊讶的是病人A 对结肠镜检查的记忆比病人B 还糟糕。,"令人惊讶的是,病人A的记忆比病人B更糟。",66.674,58.134,51.812,45.385,51.067,43.772,34.615,0.667,0.833,0.741,0.5,0.615,0.552,0.706,0.857,0.774,0.861,0.938,0.898
"The stories of the colonoscopies were different,  and because a very critical part of the story is how it ends.",两段结肠镜检查的故事不同， 这关键在于故事的结尾--,"殖民地的故事是不同的,因为故事的一个非常关键部分是它的结局。",36.667,29.75,18.49,10.402,11.325,9.707,91.667,0.273,0.214,0.24,0.167,0.111,0.133,0.385,0.263,0.312,0.733,0.707,0.72
And neither of these stories is very inspiring or great --  but one of them is this distinct ...   but one of them is distinctly worse than the other.,两个故事都不怎么启迪智慧-- 但两者显然是不同的... 显然其中之一的感受比另一个还差。,"这些故事中没有一个是非常有启发或伟大的,但其中一个是这个独特的......但其中一个比另一个更糟。",38.776,25.422,17.652,12.435,11.383,9.757,82.927,0.391,0.409,0.4,0.083,0.08,0.082,0.36,0.31,0.333,0.726,0.761,0.743
And the one that is worse  is the one where pain was at its peak at the very end;  it's a bad story.,感觉较糟的这一个 是在最后的时期里知晓什么是痛绝人寰。 这不是个好故事。,"最糟糕的是痛苦最终处于顶峰,这是一个糟糕的故事。",35.709,20.234,10.705,6.624,12.684,10.872,73.529,0.238,0.385,0.294,0.042,0.077,0.054,0.2,0.333,0.25,0.682,0.753,0.716
How do we know that?,我们是怎么知道的？,我们如何知道这一点?,40,29.814,17.711,11.868,10.37,8.889,77.778,0.333,0.333,0.333,0,0,0,0.333,0.333,0.333,0.834,0.777,0.805
"Because we asked these people after their colonoscopy,  and much later, too,  ""How bad was the whole thing, in total?""",因为我们在检查结束后问他们， 以及在很久之后再问一次他们， “你们对结肠镜检查的整体印象如何？”,"因为我们在他们的殖民后问了这些人,而且很久之后,我们也问:“整个事情到底有多糟糕?”",41.129,28.65,21.051,15.982,15.002,12.859,71.739,0.48,0.444,0.462,0.179,0.172,0.175,0.367,0.367,0.367,0.711,0.739,0.725
"And it was much worse for A than for B, in memory.",结果是A的记忆感觉明显要比B更糟糕。,"对于A来说,比B来说,在记忆中更糟糕。",47.368,36.274,24.922,17.636,15.527,13.309,77.778,0.538,0.583,0.56,0.25,0.25,0.25,0.462,0.429,0.444,0.739,0.73,0.735
Now this is a direct conflict between the experiencing self and the remembering self.,现在这是经验自我和记忆自我,"现在,这是经历的自我和记忆的自我之间的直接冲突。",50,41.703,31.622,23.426,19.581,16.784,92.308,0.833,0.417,0.556,0.333,0.154,0.211,0.857,0.4,0.545,0.891,0.747,0.813
"From the point of view of the experiencing self,  clearly, B had a worse time.",之间的直接冲突。 从经验自我的角度来看， 病人B显然是比较难受的。,"从体验自我的角度来看,显然,B有一个更糟糕的时间。",47.198,35.179,29.394,25.958,29.366,25.171,64.516,0.471,0.533,0.5,0.158,0.188,0.171,0.4,0.471,0.432,0.737,0.768,0.752
"Now, what you could do with Patient A,  and we actually ran clinical experiments,  and it has been done, and it does work --  you could actually extend the colonoscopy of Patient A  by just keeping the tube in without jiggling it too much.",那么病人A的情况该如何解释， 我们实际做了一个临床试验， 当实验完成时，我们也得到了预期的结果， 事实上我们可以延长病人A的检查时间 从而减缓导管的震动程度。,"现在,你能做什么与病人A,我们实际上进行了临床试验,已经完成了,而且它工作了,你实际上可以通过仅仅保持管道来扩展病人A的殖民地,而无需过度擦干它。",38.652,26.058,18.676,12.838,11.988,10.275,76,0.294,0.303,0.299,0.049,0.049,0.049,0.267,0.267,0.267,0.716,0.708,0.712
"That will cause the patient  to suffer, but just a little  and much less than before.",虽然病人还是会疼， 但已减轻 许多了。,"这会让病人受苦,但比以前少一点。",29.357,13.559,8.512,5.778,6.319,5.417,76.471,0.25,0.273,0.261,0,0,0,0.25,0.273,0.261,0.696,0.707,0.701
"And if you do that for a couple of minutes,  you have made the experiencing self  of Patient A worse off,  and you have the remembering self of Patient A  a lot better off,  because now you have endowed Patient A  with a better story  about his experience.",假如继续这样下去， 你将会使病人A的经验自我的 感觉更糟， 但病人A的记忆自我 则会感觉好多了， 因为你给了病人A 一个好一点的故事， 一个好一点记忆他病痛经历的故事。,"如果你这样做几分钟,你已经使患者的体验自我变得更糟,你记得患者的自我变得更好,因为现在你给了患者的体验更好的故事。",34.586,21.871,13.48,7.517,12.982,11.127,70.13,0.355,0.5,0.415,0.089,0.133,0.107,0.308,0.444,0.364,0.731,0.785,0.757
What defines a story?,怎样给故事定义好坏？,什么定义一个故事?,39.771,29.828,17.849,12.067,11.574,9.921,70,0.333,0.4,0.364,0,0,0,0.167,0.2,0.182,0.752,0.776,0.764
"And that is true of the stories  that memory delivers for us,  and it's also true of the stories that we make up.",并且记忆告诉我们的故事 是真实的， 我们讲述的故事也是真的。,"这也是我们记忆给我们的故事的真相,也是我们编写的故事的真相。",66.667,45.486,30.918,21.631,20.54,17.606,53.571,0.538,0.583,0.56,0.188,0.2,0.194,0.5,0.429,0.462,0.791,0.801,0.796
"What defines a story are changes,  significant moments and endings.",故事的好坏取决于高潮时分 及结尾时刻。,"一个故事的定义是变化,重要时刻和结局。",36.842,24.78,15.343,10.307,9.899,8.484,77.778,0.4,0.333,0.364,0.111,0.091,0.1,0.4,0.333,0.364,0.695,0.669,0.682
"Endings are very, very important  and, in this case, the ending dominated.",结尾是非常重要的， 上面的这个故事就是由结尾所主导的。,"结局非常,非常重要,在这种情况下,结局占主导地位。",38.432,24.807,17.26,12.241,11.651,9.987,69.231,0.214,0.273,0.24,0.062,0.071,0.067,0.176,0.2,0.187,0.714,0.727,0.72
"Now, the experiencing self  lives its life continuously.",现在，经验自我 延续这个生活经验。,"现在,经历的自我不断地生活着自己的生活。",40,25.131,12.061,7.127,9.298,7.97,81.25,0.5,0.364,0.421,0,0,0,0.444,0.308,0.364,0.761,0.725,0.743
"It has moments of experience, one after the other.",他也拥有片刻的经验，一个接一个。,"它有经验的时刻,一个接一个。",68.112,52.203,42.862,36.938,36.074,30.92,43.75,0.5,0.556,0.526,0.3,0.333,0.316,0.455,0.5,0.476,0.835,0.862,0.849
And you can ask: What happens to these moments?,你会问：“这些片刻怎么了？”,你可以问:这些时刻发生了什么事?,43.75,17.078,10.137,6.69,8.403,7.202,78.571,0.364,0.364,0.364,0,0,0,0.364,0.364,0.364,0.795,0.779,0.787
